Source,Target,Relation
jkdyf,c_f_india_,friend_of_friend
jkdyf,Rameshs22692636,friend_of_friend
jkdyf,ComradeShubham,friend_of_friend
jkdyf,Valsarajan74,friend_of_friend
jkdyf,ArsdSfi,friend_of_friend
jkdyf,RajeshK50044499,friend_of_friend
jkdyf,KumarRajk1187,friend_of_friend
jkdyf,gauravK28972490,friend_of_friend
jkdyf,MohanMa82564223,friend_of_friend
jkdyf,SamratD33609411,friend_of_friend
jkdyf,DipyamanPraman1,friend_of_friend
jkdyf,Javidbh86053967,friend_of_friend
jkdyf,rehanot63,friend_of_friend
jkdyf,NazirUbharia10,friend_of_friend
jkdyf,JavidAh46750642,friend_of_friend
jkdyf,MdYeasinAdvoca5,friend_of_friend
jkdyf,JYassun,friend_of_friend
jkdyf,Ibn_e_Mehtaab,friend_of_friend
@SitaramYechury,SharadYadavMP,friend
BhagatYaswant,SharadYadavMP,follower_of_friend
ARVINDS17811462,SharadYadavMP,follower_of_friend
AmamKausar,SharadYadavMP,follower_of_friend
makki_dalal,SharadYadavMP,follower_of_friend
shadabkhan484,SharadYadavMP,follower_of_friend
e69r4T1pb72W8Pn,SharadYadavMP,follower_of_friend
MoazzamSarkar,SharadYadavMP,follower_of_friend
AamirKh81357867,SharadYadavMP,follower_of_friend
Shahnaw24000519,SharadYadavMP,follower_of_friend
Sadique11952679,SharadYadavMP,follower_of_friend
AsifIqbal2021,SharadYadavMP,follower_of_friend
shamiulazam93,SharadYadavMP,follower_of_friend
vinaygu59647840,SharadYadavMP,follower_of_friend
Harishmula3,SharadYadavMP,follower_of_friend
Wasim98388940,SharadYadavMP,follower_of_friend
Shivamr56169327,SharadYadavMP,follower_of_friend
MKGunjan2,SharadYadavMP,follower_of_friend
PSarrkar,SharadYadavMP,follower_of_friend
GANI16181,SharadYadavMP,follower_of_friend
Lalsinghyadav51,SharadYadavMP,follower_of_friend
SharadYadavMP,BhagatYaswant,friend_of_friend
SharadYadavMP,ARVINDS17811462,friend_of_friend
SharadYadavMP,AmamKausar,friend_of_friend
SharadYadavMP,makki_dalal,friend_of_friend
